TF	interaction	target_gene	regulation
AML1/ETO fusion protein	aa	DDX26B	Activation
AML1/ETO fusion protein	ii	DLG3	Inhibition
AML1/ETO fusion protein	aa	EGR1	Activation
AML1/ETO fusion protein	ii	ESPL1	Inhibition
AML1/ETO fusion protein	aa	ESRP2	Activation
AML1/ETO fusion protein	aa	ESYT2	Activation
AML1/ETO fusion protein	aa	ETS1	Activation
AML1/ETO fusion protein	ii	ETV6	Inhibition
AML1/ETO fusion protein	aa	EXOC6	Activation
AML1/ETO fusion protein	aa	EXOSC8	Activation
AML1/ETO fusion protein	ii	FDX1	Inhibition
AML1/ETO fusion protein	aa	FERMT3	Activation
AML1/ETO fusion protein	ii	FLNA	Inhibition
AML1/ETO fusion protein	aa	FRYL	Activation
AML1/ETO fusion protein	ii	FUT8	Inhibition
AML1/ETO fusion protein	aa	GATSL3	Activation
AML1/ETO fusion protein	aa	GJA1	Activation
AML1/ETO fusion protein	aa	GNA14	Activation
AML1/ETO fusion protein	aa	GRHL2	Activation
AML1/ETO fusion protein	aa	H2AFY	Activation
AML1/ETO fusion protein	ii	HCK	Inhibition
AML1/ETO fusion protein	ii	HMHA1	Inhibition
AML1/ETO fusion protein	ii	HSP90B1	Inhibition
AML1/ETO fusion protein	ii	HSPA1A	Inhibition
AML1/ETO fusion protein	aa	ID1	Activation
AML1/ETO fusion protein	aa	IER3	Activation
AML1/ETO fusion protein	ii	IL3	Inhibition
AML1/ETO fusion protein	ii	ILVBL	Inhibition
AML1/ETO fusion protein	ii	IRF1	Inhibition
AML1/ETO fusion protein	ii	IRF2BP2	Inhibition
AML1/ETO fusion protein	ii	ITGA2B	Inhibition
AML1/ETO fusion protein	ii	ITGAL	Inhibition
AML1/ETO fusion protein	ii	JDP2	Inhibition
AML1/ETO fusion protein	aa	KDM6B	Activation
AML1/ETO fusion protein	ii	KLF3	Inhibition
AML1/ETO fusion protein	aa	KLHL24	Activation
AML1/ETO fusion protein	ii	KRR1	Inhibition
AML1/ETO fusion protein	ii	LAT2	Inhibition
AML1/ETO fusion protein	aa	LRCH1	Activation
AML1/ETO fusion protein	aa	MAN2A1	Activation
AML1/ETO fusion protein	ii	MAPK1	Inhibition
AML1/ETO fusion protein	ii	MEIS1	Inhibition
AML1/ETO fusion protein	aa	MIR181A2	Activation
AML1/ETO fusion protein	aa	MIR181B1	Activation
AML1/ETO fusion protein	aa	MIR181B2	Activation
AML1/ETO fusion protein	aa	MIR181C	Activation
AML1/ETO fusion protein	aa	MIR181D	Activation
AML1/ETO fusion protein	ii	MIR221	Inhibition
AML1/ETO fusion protein	ii	MIR222	Inhibition
AML1/ETO fusion protein	ii	MIR223	Inhibition
AML1/ETO fusion protein	aa	MIR23A	Activation
AML1/ETO fusion protein	aa	MIR23B	Activation
AML1/ETO fusion protein	aa	MIR241	Activation
AML1/ETO fusion protein	aa	MIR242	Activation
AML1/ETO fusion protein	aa	MIR27A	Activation
AML1/ETO fusion protein	aa	MIR27B	Activation
AML1/ETO fusion protein	aa	MIR331	Activation
AML1/ETO fusion protein	ii	MLLT3	Inhibition
AML1/ETO fusion protein	aa	MT2A	Activation
AML1/ETO fusion protein	ii	NF1	Inhibition
AML1/ETO fusion protein	aa	NRAP	Activation
AML1/ETO fusion protein	ii	NUCB2	Inhibition
AML1/ETO fusion protein	ii	P14ARF	Inhibition
AML1/ETO fusion protein	aa	POU4F1	Activation
AML1/ETO fusion protein	ii	PTEN	Inhibition
AML1/ETO fusion protein	ii	PTPRC	Inhibition
AML1/ETO fusion protein	ii	RARB	Inhibition
AML1/ETO fusion protein	ii	RPS19	Inhibition
AML1/ETO fusion protein	aa	rRNAs(5.8S, 18S, 28S)	Activation
AML1/ETO fusion protein	ii	RUNX1	Inhibition
AML1/ETO fusion protein	ii	RUNX3	Inhibition
AML1/ETO fusion protein	ii	SFRP1	Inhibition
AML1/ETO fusion protein	aa	SH3GL1	Activation
AML1/ETO fusion protein	ii	SIRT1	Inhibition
AML1/ETO fusion protein	ii	SORL1	Inhibition
AML1/ETO fusion protein	ii	SPARC	Inhibition
AML1/ETO fusion protein	ii	SPI1	Inhibition
AML1/ETO fusion protein	aa	TNFSF10	Activation
AML1/ETO fusion protein	ii	TRB	Inhibition
AML1/ETO fusion protein	aa	USP18	Activation
AML1/ETO fusion protein	ii	YES1	Inhibition
AML1/TRPS1 fusion protein	ii	HBA2	Inhibition
ANKRD1 	ii	MMP13	Inhibition
ANP32A	ii	CGA	Inhibition
ANP32A	ii	COX7A2L	Inhibition
ANP32A	aa	IFITM1	Activation
ANP32A	ii	IL2	Inhibition
ANP32A	aa	ISG15	Activation
AP-1	aa	ACE	Activation
AP-1	aa	ADH1C	Activation
AP-1	aa	ADH4	Activation
AP-1	aa	ADH7	Activation
AP-1	aa	AKR1B1	Activation
AP-1	aa	AKR1B10	Activation
AP-1	aa	ALDOA	Activation
AP-1	aa	AQP1	Activation
AP-1	aa	AR	Activation
AP-1	aa	BAG3	Activation
AP-1	aa	BCL2L1	Activation
AP-1	aa	BCL3	Activation
AP-1	aa	BDKRB1	Activation
AP-1	aa	C3AR1	Activation
AP-1	aa	CACNA1C	Activation
AP-1	aa	CARTPT	Activation
AP-1	aa	CCL2	Activation
AP-1	aa	CCL22	Activation
AP-1	aa	CCL4	Activation
AP-1	aa	CCL5	Activation
AP-1	aa	CCND1	Activation
AP-1	aa	CD226	Activation
AP-1	ii	CD320	Inhibition
AP-1	aa	CD38	Activation
AP-1	aa	CD44	Activation
AP-1	aa	CD82	Activation
AP-1	aa	CDKN1A	Activation
AP-1	aa	CHEK2	Activation
AP-1	aa	CIITA	Activation
AP-1	aa	CLDN2	Activation
AP-1	aa	CLU	Activation
AP-1	aa	CNR1	Activation
AP-1	aa	COL10A1	Activation
AP-1	aa	COL1A1	Activation
AP-1	aa	COL1A2	Activation
AP-1	aa	CP	Activation
AP-1	aa	CR2	Activation
AP-1	aa	CRTAM	Activation
AP-1	aa	CRYZ	Activation
AP-1	aa	CSF1	Activation
AP-1	aa	CSF1R	Activation
AP-1	aa	CSF2	Activation
AP-1	aa	CSF2RA	Activation
AP-1	aa	CTGF	Activation
AP-1	aa	CTNNB1	Activation
AP-1	aa	CTSE	Activation
AP-1	aa	CTSL	Activation
AP-1	ii	CXCL10	Inhibition
AP-1	aa	CXCL14	Activation
AP-1	aa	CXCL16	Activation
AP-1	aa	CXCL2	Activation
AP-1	aa	CXCL3	Activation
AP-1	aa	CXCL8	Activation
AP-1	aa	CYBA	Activation
AP-1	aa	CYP1A2	Activation
AP-1	aa	CYP2E1	Activation
AP-1	aa	DDIT3	Activation
AP-1	aa	DEFB4B	Activation
AP-1	aa	DMTF1	Activation
AP-1	ii	DNTT	Inhibition
AP-1	aa	EDN1	Activation
AP-1	aa	EDNRB	Activation
AP-1	aa	EIF4E	Activation
AP-1	aa	ELF1	Activation
AP-1	aa	ENO1	Activation
AP-1	aa	ESR1	Activation
AP-1	aa	ESRRA	Activation
AP-1	aa	F3	Activation
AP-1	aa	FASLG	Activation
AP-1	aa	FER	Activation
AP-1	aa	FGF2	Activation
AP-1	aa	FIGF	Activation
AP-1	aa	FN1	Activation
AP-1	ii	FOLR2	Inhibition
AP-1	aa	FOSL1	Activation
AP-1	aa	FOXP3	Activation
AP-1	aa	FSHB	Activation
AP-1	aa	FUT3	Activation
AP-1	aa	GBA	Activation
AP-1	aa	GCLC	Activation
AP-1	aa	GDF15	Activation
AP-1	aa	GFAP	Activation
AP-1	aa	GGT1	Activation
AP-1	aa	GJA1	Activation
AP-1	aa	GLRX	Activation
AP-1	aa	GNLY	Activation
AP-1	aa	GNRHR	Activation
AP-1	aa	GRIN2B	Activation
AP-1	aa	GSS	Activation
AP-1	aa	GSTP1	Activation
AP-1	aa	GZMB	Activation
AP-1	aa	HBA2	Activation
AP-1	aa	HBEGF	Activation
AP-1	aa	HCN4	Activation
AP-1	aa	HIF3A	Activation
AP-1	aa	HMBS	Activation
AP-1	aa	HMGA1	Activation
AP-1	aa	HMOX1	Activation
AP-1	aa	HNMT	Activation
AP-1	aa	HPGD	Activation
AP-1	aa	HSPB1	Activation
AP-1	aa	IBSP	Activation
AP-1	aa	ICAM1	Activation
AP-1	aa	ID2	Activation
AP-1	aa	IFNE	Activation
AP-1	aa	IFNG	Activation
AP-1	aa	IGF1	Activation
AP-1	aa	IL10	Activation
AP-1	aa	IL12B	Activation
AP-1	aa	IL13RA2	Activation
AP-1	aa	IL18	Activation
AP-1	aa	IL1A	Activation
AP-1	aa	IL1B	Activation
AP-1	aa	IL2	Activation
AP-1	aa	IL2RA	Activation
AP-1	aa	IL3	Activation
AP-1	aa	IL5	Activation
AP-1	aa	IL6	Activation
AP-1	aa	ITGA2	Activation
AP-1	aa	ITGA6	Activation
AP-1	aa	ITGAX	Activation
AP-1	aa	ITPR1	Activation
AP-1	aa	IVL	Activation
AP-1	aa	JAK3	Activation
AP-1	aa	JUN	Activation
AP-1	aa	KCNN4	Activation
AP-1	aa	KIR2DL4	Activation
AP-1	aa	KIR3DL1	Activation
AP-1	aa	KLF16	Activation
AP-1	aa	KLHL41	Activation
AP-1	aa	LAMA3	Activation
AP-1	aa	LAMB1	Activation
AP-1	aa	LAMC2	Activation
AP-1	ii	LBP	Inhibition
AP-1	aa	LENEP	Activation
AP-1	aa	LPL	Activation
AP-1	aa	LRAT	Activation
AP-1	aa	MAPK3	Activation
AP-1	aa	MAT2A	Activation
AP-1	aa	MC2R	Activation
AP-1	aa	MDM2	Activation
AP-1	aa	ME1	Activation
AP-1	aa	MEP1B	Activation
AP-1	aa	METAP2	Activation
AP-1	aa	MIR155	Activation
AP-1	aa	MIR21	Activation
AP-1	aa	MMP1	Activation
AP-1	aa	MMP12	Activation
AP-1	aa	MMP13	Activation
AP-1	aa	MMP19	Activation
AP-1	aa	MMP2	Activation
AP-1	aa	MMP3	Activation
AP-1	aa	MMP7	Activation
AP-1	aa	MMP9	Activation
AP-1	aa	MRPS12	Activation
AP-1	aa	MSH2	Activation
AP-1	aa	MT2A	Activation
AP-1	aa	MUC4	Activation
AP-1	aa	MUC5AC	Activation
AP-1	aa	MUC5B	Activation
AP-1	aa	MUC7	Activation
AP-1	aa	MYC	Activation
AP-1	aa	MYLK	Activation
AP-1	aa	NACC1	Activation
AP-1	aa	NDUFA5	Activation
AP-1	aa	NEFL	Activation
AP-1	aa	NEO1	Activation
AP-1	aa	NOS2	Activation
AP-1	aa	NOS3	Activation
AP-1	aa	NOTCH4	Activation
AP-1	aa	NOX4	Activation
AP-1	aa	NPPB	Activation
AP-1	aa	NPY	Activation
AP-1	aa	NRP1	Activation
AP-1	aa	OPRD1	Activation
AP-1	aa	OSM	Activation
AP-1	aa	PADI4	Activation
AP-1	aa	PDE6B	Activation
AP-1	aa	PDYN	Activation
AP-1	ii	PGR	Inhibition
AP-1	aa	PI3	Activation
AP-1	aa	PLAU	Activation
AP-1	aa	PLAUR	Activation
AP-1	aa	POMC	Activation
AP-1	ii	POU1F1	Inhibition
AP-1	aa	PPARD	Activation
AP-1	aa	PRL	Activation
AP-1	aa	PRSS21	Activation
AP-1	aa	PSEN1	Activation
AP-1	aa	PSIP1	Activation
AP-1	aa	PTGFR	Activation
AP-1	aa	PTGS2	Activation
AP-1	aa	PTN	Activation
AP-1	aa	RAB18	Activation
AP-1	aa	S100A4	Activation
AP-1	aa	SELE	Activation
AP-1	aa	SERPINA3	Activation
AP-1	aa	SERPINB2	Activation
AP-1	aa	SERPINB5	Activation
AP-1	aa	SERPINB7	Activation
AP-1	aa	SERPINE1	Activation
AP-1	aa	SLC10A2	Activation
AP-1	aa	SLC20A1	Activation
AP-1	aa	SLC23A2	Activation
AP-1	aa	SLC26A1	Activation
AP-1	aa	SLC2A1	Activation
AP-1	aa	SLC46A1	Activation
AP-1	aa	SLC47A1	Activation
AP-1	aa	SLC6A4	Activation
AP-1	aa	SMAD7	Activation
AP-1	aa	SNAI1	Activation
AP-1	aa	SNCG	Activation
AP-1	aa	SOCS3	Activation
AP-1	aa	SOD2	Activation
AP-1	aa	SPATA12	Activation
AP-1	aa	SPP1	Activation
AP-1	aa	SPRR1A	Activation
AP-1	aa	SPRR1B	Activation
AP-1	aa	ST8SIA1	Activation
AP-1	aa	TBXA2R	Activation
AP-1	ii	TERT	Inhibition
AP-1	aa	TFF1	Activation
AP-1	aa	TFPI2	Activation
AP-1	aa	TGFB1	Activation
AP-1	aa	TH	Activation
AP-1	aa	TIMP1	Activation
AP-1	aa	TIMP2	Activation
AP-1	aa	TLR10	Activation
AP-1	aa	TLR4	Activation
AP-1	aa	TMEM174	Activation
AP-1	aa	TMPRSS2	Activation
AP-1	aa	TNF	Activation
AP-1	aa	TNFRSF9	Activation
AP-1	aa	TNFSF10	Activation
AP-1	aa	TRAF3IP2	Activation
AP-1	aa	TREM1	Activation
AP-1	aa	TSLP	Activation
AP-1	aa	TTR	Activation
AP-1	aa	UTRN	Activation
AP-1	aa	VCAM1	Activation
AP-1	aa	VCAN	Activation
AP-1	aa	VEGFA	Activation
AP-1	aa	VIM	Activation
AP-1	aa	ZBTB16	Activation
AP-2	aa	ACADVL	Activation
AP-2	aa	ADAMTS4	Activation
AP-2	aa	ADRA1B	Activation
AP-2	ii	ADRA1D	Inhibition
AP-2	aa	ADRBK1	Activation
AP-2	ii	APP	Inhibition
AP-2	aa	AQP1	Activation
AP-2	aa	BCKDHA	Activation
AP-2	aa	CHD5	Activation
AP-2	aa	CHGB	Activation
AP-2	aa	CHRNA3	Activation
AP-2	aa	CNP	Activation
AP-2	aa	DBI	Activation
AP-2	aa	DRD1	Activation
AP-2	aa	ERBB2	Activation
AP-2	aa	F3	Activation
AP-2	aa	G6PD	Activation
AP-2	aa	GJB2	Activation
AP-2	aa	HDAC2	Activation
AP-2	ii	HGF	Inhibition
AP-2	aa	HPGD	Activation
AP-2	aa	HYAL1	Activation
AP-2	aa	IGFBP5	Activation
AP-2	ii	IL3	Inhibition
AP-2	aa	KCNJ3	Activation
AP-2	aa	KDR	Activation
AP-2	aa	KITLG	Activation
AP-2	aa	KLF16	Activation
AP-2	aa	KRT4	Activation
AP-2	aa	KRT7	Activation
AP-2	aa	LRP2	Activation
AP-2	aa	MAPK3	Activation
AP-2	aa	MET	Activation
AP-2	aa	MMP2	Activation
AP-2	aa	MUSTN1	Activation
AP-2	aa	NKTR	Activation
AP-2	aa	NME3	Activation
AP-2	aa	NR3C2	Activation
AP-2	aa	OPRD1	Activation
AP-2	aa	PDIA4	Activation
AP-2	aa	PNMT	Activation
AP-2	aa	PRKCA	Activation
AP-2	aa	PVR	Activation
AP-2	aa	RNU4-2	Activation
AP-2	aa	SERPINA5	Activation
AP-2	aa	SLC16A1	Activation
AP-2	aa	SLC34A1	Activation
AP-2	aa	SLC6A4	Activation
AP-2	aa	SLC9A3	Activation
AP-2	aa	SOD1	Activation
AP-2	ii	SOD2	Inhibition
AP-2	aa	SPHK1	Activation
AP-2	aa	TAC1	Activation
AP-2	aa	TAF7	Activation
AP-2	aa	TCF3	Activation
AP-2	aa	TERT	Activation
AP-2	aa	TGFA	Activation
AP-2	aa	TGFBR1	Activation
AP-2	aa	TNK1	Activation
AP-2	aa	TP73	Activation
AP-2	aa	TRIM27	Activation
AP-2	aa	VEGFC	Activation
APEX1	aa	ABCB1	Activation
APEX1	ii	APEX1	Inhibition
APEX1	aa	APOD	Activation
APEX1	aa	CDKN1A	Activation
APEX1	aa	CDKN2B	Activation
APEX1	ii	CYP11B2	Inhibition
APEX1	aa	FGG	Activation
APEX1	ii	HBG1	Inhibition
APEX1	aa	NCL	Activation
APEX1	ii	PTH	Inhibition
APEX1	ii	REN	Inhibition
APEX1	aa	SIRT1	Activation
APEX1	aa	SOCS3	Activation
AR	aa	ABCC1	Activation
AR	aa	ABCC4	Activation
AR	aa	ACACA	Activation
AR	aa	ACBD6	Activation
AR	ii	ACSS2	Inhibition
AR	aa	ADAM10	Activation
AR	aa	ADAM17	Activation
AR	aa	ADAM9	Activation
AR	aa	ADAMTS1	Activation
AR	aa	ADCYAP1	Activation
AR	aa	ADPGK	Activation
AR	aa	AGR2	Activation
AR	aa	AGR3	Activation
AR	ii	AHSG	Inhibition
AR	aa	AKR1D1	Activation
AR	aa	ALOX5AP	Activation
AR	aa	ALPL	Activation
AR	aa	AMD1	Activation
AR	ii	AMIGO2	Inhibition
AR	aa	ANAPC10	Activation
AR	ii	ANGPTL4	Inhibition
AR	aa	ANKH	Activation
AR	ii	ANKRD1 	Inhibition
AR	aa	AP3S1	Activation
AR	aa	APP	Activation
AR	aa	AQP5	Activation
AR	ii	AR	Inhibition
AR	aa	AREG	Activation
AR	aa	ARHGAP26	Activation
AR	aa	ARMC12	Activation
AR	aa	ASB9	Activation
AR	aa	ATAD2	Activation
AR	aa	ATP1A1	Activation
AR	aa	ATR	Activation
AR	aa	AZGP1	Activation
AR	aa	B2M	Activation
AR	aa	BCL2L1	Activation
AR	aa	BLVRB	Activation
AR	aa	BRF2	Activation
AR	aa	BRMS1L	Activation
AR	aa	BTG3	Activation
AR	aa	BUB3	Activation
AR	aa	C19orf48	Activation
AR	aa	C1orf116	Activation
AR	aa	C4A	Activation
AR	aa	CAMKK2	Activation
AR	ii	CASP2	Inhibition
AR	aa	CATSPER2	Activation
AR	ii	CAV1	Inhibition
AR	aa	CCNA2	Activation
AR	aa	CCNB1	Activation
AR	ii	CCND1	Inhibition
AR	aa	CD44	Activation
AR	aa	CDC20	Activation
AR	aa	CDC6	Activation
AR	ii	CDH1	Inhibition
AR	aa	CDH2	Activation
AR	ii	CDH3	Inhibition
AR	aa	CDK1	Activation
AR	aa	CDK14	Activation
AR	aa	CDK2	Activation
AR	aa	CDK20	Activation
AR	aa	CDKN1A	Activation
AR	aa	CEBPD	Activation
AR	aa	CFLAR	Activation
AR	ii	CHRM1	Inhibition
AR	ii	CITED2	Inhibition
AR	aa	CLDN3	Activation
AR	aa	CLU	Activation
AR	aa	CPD	Activation
AR	aa	CPEB4	Activation
AR	aa	CRELD2	Activation
AR	aa	CRISPLD2	Activation
AR	ii	CST3	Inhibition
AR	aa	CTBP1AS2	Activation
AR	ii	CXCL2	Inhibition
AR	ii	CXCL3	Inhibition
AR	ii	CXCL8	Inhibition
AR	aa	CYP3A5	Activation
AR	ii	CYR61	Inhibition
AR	aa	DBF4	Activation
AR	aa	DCAF6	Activation
AR	aa	DCLRE1A	Activation
AR	aa	DCST1	Activation
AR	aa	DCST2	Activation
AR	aa	DDT	Activation
AR	aa	DDX25	Activation
AR	ii	DEF6	Inhibition
AR	aa	DMP1	Activation
AR	aa	DNAJC15	Activation
AR	aa	DNER	Activation
AR	aa	DNM1L	Activation
AR	aa	DNM2	Activation
AR	aa	DPP4	Activation
AR	aa	DSPP	Activation
AR	aa	DUSP16	Activation
AR	aa	DYRK1A	Activation
AR	aa	EFNA3	Activation
AR	aa	EFNA4	Activation
AR	aa	EFNA5	Activation
AR	ii	EGR1	Inhibition
AR	aa	ELK1	Activation
AR	aa	ELK4	Activation
AR	aa	ELL2	Activation
AR	aa	EPB41L4B	Activation
AR	ii	EPGN	Inhibition
AR	aa	EPPIN	Activation
AR	ii	EPS8L2	Inhibition
AR	aa	EPSTI1	Activation
AR	aa	ERBB2	Activation
AR	aa	ERBB3	Activation
AR	ii	EREG	Inhibition
AR	aa	ERN1	Activation
AR	aa	ESR2	Activation
AR	aa	ETV1	Activation
AR	aa	EZR	Activation
AR	aa	F2R	Activation
AR	aa	F3	Activation
AR	aa	FAM105A	Activation
AR	aa	FAM174B	Activation
AR	aa	FASN	Activation
AR	ii	FBXO32	Inhibition
AR	aa	FEN1	Activation
AR	aa	FGD4	Activation
AR	aa	FGF18	Activation
AR	aa	FGF7	Activation
AR	aa	FGF8	Activation
AR	aa	FKBP5	Activation
AR	aa	FOLH1	Activation
AR	aa	FOXO4	Activation
AR	aa	FOXP1	Activation
AR	aa	FSHB	Activation
AR	ii	GADD45B	Inhibition
AR	aa	GADD45G	Activation
AR	aa	GARS	Activation
AR	aa	GAS6	Activation
AR	aa	GBA	Activation
AR	aa	GNL3	Activation
AR	aa	GNMT	Activation
AR	ii	GPR115	Inhibition
AR	aa	GPR153	Activation
AR	aa	GPX5	Activation
AR	aa	GRAMD2	Activation
AR	aa	GREB1	Activation
AR	aa	GSR	Activation
AR	aa	GSTP1	Activation
AR	aa	GSTT2	Activation
AR	aa	GUCY1A3	Activation
AR	aa	HCN4	Activation
AR	aa	HDX	Activation
AR	ii	HGD	Inhibition
AR	aa	HMGCR	Activation
AR	ii	HSF1	Inhibition
AR	aa	HUS1	Activation
AR	aa	IBSP	Activation
AR	aa	ID1	Activation
AR	aa	IGF1	Activation
AR	aa	IGF1R	Activation
AR	aa	IGFBP1	Activation
AR	aa	IGFBP3	Activation
AR	ii	IL6	Inhibition
AR	aa	IL6R	Activation
AR	aa	IRS2	Activation
AR	aa	ITGB5	Activation
AR	aa	KARS	Activation
AR	aa	KDM4B	Activation
AR	ii	KIAA1217	Inhibition
AR	aa	KLF5	Activation
AR	aa	KLK11	Activation
AR	aa	KLK2	Activation
AR	aa	KLK3	Activation
AR	aa	KLK4	Activation
AR	aa	KLKP1	Activation
AR	ii	KRT18	Inhibition
AR	aa	KRT5	Activation
AR	aa	KRT7	Activation
AR	aa	LCN8	Activation
AR	aa	LHX4	Activation
AR	aa	LPP	Activation
AR	aa	LRRC8A	Activation
AR	aa	MACROD1	Activation
AR	aa	MAK	Activation
AR	aa	MAN2B2	Activation
AR	aa	MAOA	Activation
AR	aa	MCEE	Activation
AR	aa	MEF2C	Activation
AR	aa	microRNA 125b	Activation
AR	aa	MIR122	Activation
AR	aa	MIR133B	Activation
AR	aa	MIR148A	Activation
AR	aa	MIR19A	Activation
AR	aa	MIR206	Activation
AR	aa	MIR21	Activation
AR	aa	MIR221	Activation
AR	aa	MIR222	Activation
AR	aa	MIR23A	Activation
AR	aa	MIR242	Activation
AR	aa	MIR27A	Activation
AR	ii	MIR29B1	Inhibition
AR	ii	MIR31	Inhibition
AR	aa	MIR32	Activation
AR	aa	MIR338	Activation
